Course Abbr,S/T,Course Title,"Cr(US)","Cr(ECTS)",Start Date,End Date,Days,Time,Enr,Cap,Faculty,Room
CHEM 341,1L,Biochemistry I,3.0,6,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,23,24,"DarkhanUtepbergenov","7.507 -cap:48"
CHEM 341L,1ChLb,Biochemistry I Lab,1.0,2,14-AUG-23,24-NOV-23,R,09:00 AM-11:50 AM,13,24,Ellina Mun,"7.310 -cap:15"
CHEM 350,1L,"Advanced InorganicChemistry",3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,16,24,"AndreyKhalimon","7.507 -cap:48"
CHEM 350L,1Lb,"Advanced InorganicChemistry Laboratory",1.0,2,14-AUG-23,24-NOV-23,F,03:00 PM-05:50 PM,15,24,"AisuluZhanbossinova","7.310 -cap:15"
CHEM 400,1S,Chemistry Seminar,3.0,6,14-AUG-23,24-NOV-23,M,03:00 PM-05:50 PM,12,24,Timur Atabaev,"7.507 -cap:48"
CHEM 410,1L,Structural Spectroscopy,4.0,8,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,13,24,"SalimgereyAdilov","7.210 -cap:54"
CHEM 471,1L,Environmental Chemistry,3.0,6,14-AUG-23,24-NOV-23,W,03:00 PM-05:50 PM,36,12,Mannix Balanay,"7.507 -cap:48"
CHME 200,1L,"Basic Principles andCalculations in ChemicalEngineering",3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,47,50,Cevat Erisken,"3E.221 -cap:50"
CHME 200,1R,"Basic Principles andCalculations in ChemicalEngineering",3.0,6,14-AUG-23,24-NOV-23,M,01:00 PM-01:50 PM,47,50,Cevat Erisken,"3E.221 -cap:50"
CHME 201,1L,"Chemical EngineeringThermodynamics",3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,48,50,Nurxat Nuraje,"3E.221 -cap:50"
CHME 201,1R,"Chemical EngineeringThermodynamics",3.0,6,14-AUG-23,24-NOV-23,W,01:00 PM-01:50 PM,48,50,Nurxat Nuraje,"3E.221 -cap:50"
CHME 222,1Lb,"Inorganic and AnalyticalChemistry",3.0,6,14-AUG-23,24-NOV-23,T,02:00 PM-03:45 PM,24,25,"Jorge OnaRuales","3.143 -cap:20"
CHME 222,2Lb,"Inorganic and AnalyticalChemistry",3.0,6,14-AUG-23,24-NOV-23,R,02:00 PM-03:45 PM,24,25,"Jorge OnaRuales","3.143 -cap:20"
CHME 222,1L,"Inorganic and AnalyticalChemistry",3.0,6,14-AUG-23,24-NOV-23,M W F,12:00 PM-12:50 PM,48,50,"Jorge OnaRuales","3E.224 -cap:90"
CHME 222,1T,"Inorganic and AnalyticalChemistry",3.0,6,14-AUG-23,24-NOV-23,F,01:00 PM-01:50 PM,48,50,"Jorge OnaRuales","3E.224 -cap:90"
CHME 300,1T,Heat and Mass Transfer,3.0,6,14-AUG-23,24-NOV-23,M,02:00 PM-02:50 PM,47,50,Sergey Spotar,"3.323 -cap:64"
CHME 300,1L,Heat and Mass Transfer,3.0,6,14-AUG-23,24-NOV-23,M W,05:00 PM-05:50 PM,47,50,Sergey Spotar,"3.302 -cap:76"
CHME 300,1L,Heat and Mass Transfer,3.0,6,14-AUG-23,24-NOV-23,F,05:00 PM-05:50 PM,47,50,Sergey Spotar,"3E.224 -cap:90"
CHME 301,1L,"Applied Mathematics forProcess Design",3.0,6,14-AUG-23,24-NOV-23,T,10:30 AM-11:45 AM,46,50,Boris Golman,"7.210 -cap:54"
CHME 301,1L,"Applied Mathematics forProcess Design",3.0,6,14-AUG-23,24-NOV-23,R,10:30 AM-11:45 AM,46,50,Boris Golman,"7E.429 -cap:90"
CHME 301,2Lb,"Applied Mathematics forProcess Design",3.0,6,14-AUG-23,24-NOV-23,R,05:00 PM-06:00 PM,46,50,Boris Golman,"7E.125/3- cap:54"
CHME 302,1L,"Instrumental Methods ofAnalysis for Engineers",3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,43,45,Chang-Keun Lim,"3.322 -cap:41"
CHME 302,1Lb,"Instrumental Methods ofAnalysis for Engineers",3.0,6,14-AUG-23,24-NOV-23,W,02:00 PM-03:45 PM,43,45,Chang-Keun Lim,"7E.125/3- cap:54"
CHME 351,1L,"Environment andDevelopment",3.0,6,14-AUG-23,24-NOV-23,M W F,09:00 AM-09:50 AM,35,42,"StavrosPoulopoulos","3.322 -cap:41"
CHME 353,1L,"ElectrochemicalEngineering",3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,40,42,"AlmagulMentbayeva","3.322 -cap:41"
CHME 353,1Lb,"ElectrochemicalEngineering",3.0,6,14-AUG-23,24-NOV-23,F,02:00 PM-04:00 PM,40,42,"AlmagulMentbayeva","3E.422 -cap:20"
CHME 400,1L,"Process Design andSimulation",3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,41,40,Dhawal Shah,"3.323 -cap:64"
CHME 400,1Lb,"Process Design andSimulation",3.0,6,14-AUG-23,24-NOV-23,W,03:00 PM-04:45 PM,21,20,Dhawal Shah,"3E.227 -cap:28"
CHME 400,2Lb,"Process Design andSimulation",3.0,6,14-AUG-23,24-NOV-23,F,03:00 PM-04:45 PM,20,20,Dhawal Shah,"3E.227 -cap:28"
CHME 401,1Lb,"Chemical Engineering LabII",3.0,6,14-AUG-23,24-NOV-23,M,09:00 AM-11:00 AM,10,10,"AinurZhanbassynova","3E.429 -cap:15"
CHME 401,2Lb,"Chemical Engineering LabII",3.0,6,14-AUG-23,24-NOV-23,W,09:00 AM-11:00 AM,9,10,"AinurZhanbassynova","3E.429 -cap:15"
CHME 401,3Lb,"Chemical Engineering LabII",3.0,6,14-AUG-23,24-NOV-23,F,09:00 AM-11:00 AM,9,10,"AinurZhanbassynova","3E.429 -cap:15"
CHME 401,4Lb,"Chemical Engineering LabII",3.0,6,14-AUG-23,24-NOV-23,R,12:00 PM-02:00 PM,14,10,"AinurZhanbassynova","3E.429 -cap:15"
CHME 453,1Lb,Multiphase Systems,3.0,6,14-AUG-23,24-NOV-23,T,04:15 PM-06:00 PM,31,35,Sergey Spotar,"7.522 -cap:30"
CHME 453,1L,Multiphase Systems,3.0,6,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,31,35,Sergey Spotar,"3.407 -cap:40"
CHN 102,1L,Beginning Mandarin II,4.0,8,14-AUG-23,24-NOV-23,M T W R,01:00 PM-01:50 PM,12,24,Lili Zhang,"8.310 -cap:27"
CHN 102,2L,Beginning Mandarin II,4.0,8,14-AUG-23,24-NOV-23,M T W R,12:00 PM-12:50 PM,23,24,Lili Zhang,"8.310 -cap:27"
CHN 202,1L,Intermediate Mandarin II,4.0,8,14-AUG-23,24-NOV-23,M T W R,02:00 PM-02:50 PM,18,24,Lili Zhang,"8.310 -cap:27"
CSCI 111,1L,"Web Programming andProblem Solving",3.0,6,14-AUG-23,24-NOV-23,M W F,05:00 PM-05:50 PM,39,30,Marat Isteleyev,"7.422 -cap:30"
CSCI 115,1Lb,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,M,09:00 AM-09:50 AM,33,30,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 115,2Lb,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,M,10:00 AM-10:50 AM,35,30,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 115,4Lb,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,M,12:00 PM-12:50 PM,36,30,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 115,5Lb,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,M,01:00 PM-01:50 PM,32,30,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 115,6Lb,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,M,02:00 PM-02:50 PM,32,30,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 115,7Lb,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,M,03:00 PM-03:50 PM,31,30,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 115,8Lb,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,M,04:00 PM-04:50 PM,32,30,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 115,9Lb,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,M,05:00 PM-05:50 PM,34,30,"SyedMuhammadUmair Arif","7.522 -cap:30"
CSCI 115,1L,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,M F,04:00 PM-04:50 PM,106,90,Minho Lee,"Online -cap:0"
CSCI 115,2L,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,M F,05:00 PM-05:50 PM,96,88,Sain Saginbekov,"Online -cap:0"
CSCI 115,3L,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,M F,03:00 PM-03:50 PM,99,90,"SaidaMussakhojayeva","Online -cap:0"
CSCI 115,1L,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,W,04:00 PM-04:50 PM,106,90,Minho Lee,"7E.429 -cap:90"
CSCI 115,2L,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,W,05:00 PM-05:50 PM,96,88,Sain Saginbekov,"7E.429 -cap:90"
CSCI 115,3L,"ProgrammingFundamentals",4.0,8,14-AUG-23,24-NOV-23,W,03:00 PM-03:50 PM,99,90,"SaidaMussakhojayeva","7E.429 -cap:90"
CSCI 151,1CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,M,09:00 AM-09:50 AM,31,30,Asset Berdibek,"7.522 -cap:30"
CSCI 151,2CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,M,10:00 AM-10:50 AM,34,30,Asset Berdibek,"7.522 -cap:30"
CSCI 151,3CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,M,11:00 AM-11:50 AM,31,30,Asset Berdibek,"7.522 -cap:30"
CSCI 151,4CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,M,12:00 PM-12:50 PM,33,30,Asset Berdibek,"7.522 -cap:30"
CSCI 151,5CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,M,01:00 PM-01:50 PM,33,30,Asset Berdibek,"7.522 -cap:30"
CSCI 151,6CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,M,02:00 PM-02:50 PM,34,30,Asset Berdibek,"7.522 -cap:30"
CSCI 151,7CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,W,09:00 AM-09:50 AM,32,30,Adai Shomanov,"7.522 -cap:30"
CSCI 151,8CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,W,10:00 AM-10:50 AM,30,30,Adai Shomanov,"7.522 -cap:30"
CSCI 151,9CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,W,11:00 AM-11:50 AM,29,30,Adai Shomanov,"7.522 -cap:30"
CSCI 151,10CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,W,12:00 PM-12:50 PM,31,30,Adai Shomanov,"7.522 -cap:30"
CSCI 151,11CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,W,01:00 PM-01:50 PM,31,30,Adai Shomanov,"7.522 -cap:30"
CSCI 151,12CLb,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,W,02:00 PM-02:50 PM,31,30,Adai Shomanov,"7.522 -cap:30"
CSCI 151,1L,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,R,09:00 AM-10:15 AM,121,120,Antonio Cerone,"Online -cap:0"
CSCI 151,2L,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,R,10:30 AM-11:45 AM,126,120,"DimitriosZormpas","Online -cap:0"
CSCI 151,3L,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,R,12:00 PM-01:15 PM,133,120,"MuhammedDemirci","Online -cap:0"
CSCI 151,1L,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,T,09:00 AM-10:15 AM,121,120,Antonio Cerone,"7E.429 -cap:90"
CSCI 151,2L,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,T,10:30 AM-11:45 AM,126,120,"DimitriosZormpas","7E.429 -cap:90"
CSCI 151,3L,"Programming forScientists and Engineers",4.0,8,14-AUG-23,24-NOV-23,T,12:00 PM-01:15 PM,133,120,"MuhammedDemirci","7E.429 -cap:90"
CSCI 231,1Lb,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,R,09:00 AM-09:50 AM,29,30,Asset Berdibek,"7.522 -cap:30"
CSCI 231,2Lb,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,R,10:00 AM-10:50 AM,29,30,Asset Berdibek,"7.522 -cap:30"
CSCI 231,3Lb,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,R,11:00 AM-11:50 AM,28,30,Asset Berdibek,"7.522 -cap:30"
CSCI 231,4Lb,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,R,12:00 PM-12:50 PM,29,30,Asset Berdibek,"7.522 -cap:30"
CSCI 231,5Lb,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,F,09:00 AM-09:50 AM,29,30,Asset Berdibek,"7.522 -cap:30"
CSCI 231,6Lb,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,F,10:00 AM-10:50 AM,29,30,Asset Berdibek,"7.522 -cap:30"
CSCI 231,7Lb,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,F,11:00 AM-11:50 AM,28,30,Asset Berdibek,"7.522 -cap:30"
CSCI 231,8Lb,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,F,12:00 PM-12:50 PM,31,30,Asset Berdibek,"7.522 -cap:30"
CSCI 231,9Lb,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,F,01:00 PM-01:50 PM,31,30,Asset Berdibek,"7.522 -cap:30"
CSCI 231,10Lb,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,F,02:00 PM-02:50 PM,28,30,Asset Berdibek,"7.522 -cap:30"
CSCI 231,1L,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,W,11:00 AM-11:50 AM,96,100,Hashim Ali,"Online -cap:0"
CSCI 231,2L,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,W,12:00 PM-12:50 PM,99,100,Latif Zohaib,"Online -cap:0"
CSCI 231,3L,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,W,01:00 PM-01:50 PM,96,100,"NursultanKabylkas","Online -cap:0"
CSCI 231,1L,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,M,11:00 AM-11:50 AM,96,100,Hashim Ali,"7E.329 -cap:95"
CSCI 231,2L,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,M,12:00 PM-12:50 PM,99,100,Latif Zohaib,"7E.429 -cap:90"
CSCI 231,3L,"Computer Systems andOrganization",3.0,6,14-AUG-23,24-NOV-23,M,01:00 PM-01:50 PM,96,100,"NursultanKabylkas","7E.429 -cap:90"
CSCI 235,1Lb,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,W,09:00 AM-09:50 AM,30,30,"AigerimYessenbayeva","7.422 -cap:30"
CSCI 235,2Lb,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,W,10:00 AM-10:50 AM,28,30,"AigerimYessenbayeva","7.422 -cap:30"
CSCI 235,3Lb,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,W,11:00 AM-11:50 AM,28,30,"AigerimYessenbayeva","7.422 -cap:30"
CSCI 235,4Lb,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,W,12:00 PM-12:50 PM,15,30,"AigerimYessenbayeva","7.422 -cap:30"
CSCI 235,5Lb,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,W,01:00 PM-01:50 PM,28,30,"AigerimYessenbayeva","7.422 -cap:30"
CSCI 235,6Lb,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,W,02:00 PM-02:50 PM,30,30,Marat Isteleyev,"7.422 -cap:30"
CSCI 235,7Lb,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,W,03:00 PM-03:50 PM,30,30,Marat Isteleyev,"7.422 -cap:30"
CSCI 235,8Lb,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,F,09:00 AM-09:50 AM,30,30,Marat Isteleyev,"7.422 -cap:30"
CSCI 235,9Lb,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,F,10:00 AM-10:50 AM,17,30,Marat Isteleyev,"7.422 -cap:30"
CSCI 235,10Lb,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,F,11:00 AM-11:50 AM,29,30,Marat Isteleyev,"7.422 -cap:30"
CSCI 235,1L,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,T,12:00 PM-01:15 PM,130,150,Ben Tyler,"Online -cap:0"
CSCI 235,2L,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,T,01:30 PM-02:45 PM,135,150,Ben Tyler,"Online -cap:0"
CSCI 235,1L,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,R,12:00 PM-01:15 PM,130,150,Ben Tyler,"7E.429 -cap:90"
CSCI 235,2L,Programming Languages,4.0,8,14-AUG-23,24-NOV-23,R,01:30 PM-02:45 PM,135,150,Ben Tyler,"7E.429 -cap:90"
CSCI 281,1L,"Human-ComputerInteraction",3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,32,30,Antonio Cerone,"7.422 -cap:30"
CSCI 299,1Int,Internship I,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,11,30,Ben Tyler,
CSCI 325,1L,"Introduction to ParallelSystems and GraphicsProcessing UnitProgramming",3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,14,30,Jurn Gyu Park,"7.522 -cap:30"
CSCI 341,1L,Database Systems,3.0,6,14-AUG-23,24-NOV-23,M F,01:00 PM-01:50 PM,126,145,"MeiramMurzabulatov","Online -cap:0"
CSCI 341,2L,Database Systems,3.0,6,14-AUG-23,24-NOV-23,M F,02:00 PM-02:50 PM,138,145,Adnan Yazici,"Online -cap:0"
CSCI 341,1L,Database Systems,3.0,6,14-AUG-23,24-NOV-23,W,01:00 PM-01:50 PM,126,145,"MeiramMurzabulatov","7E.429 -cap:90"
CSCI 341,2L,Database Systems,3.0,6,14-AUG-23,24-NOV-23,W,02:00 PM-02:50 PM,138,145,Adnan Yazici,"7E.429 -cap:90"
CSCI 344,1L,"Data Mining and DecisionSupport",3.0,6,14-AUG-23,24-NOV-23,M W F,04:00 PM-04:50 PM,30,30,Jurn Gyu Park,"7.522 -cap:30"
CSCI 344,2L,"Data Mining and DecisionSupport",3.0,6,14-AUG-23,24-NOV-23,M W F,03:00 PM-03:50 PM,28,30,Pavel Braslavskii,"7.522 -cap:30"
CSCI 355,1L,Compiler Construction,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,27,40,"Jean MarieGuillaumeGerard deNivelle","7.246 -cap:48"
CSCI 361,1Lb,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,T,09:00 AM-09:50 AM,26,32,Adai Shomanov,"7.422 -cap:30"
CSCI 361,2Lb,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,T,10:00 AM-10:50 AM,18,32,Adai Shomanov,"7.422 -cap:30"
CSCI 361,3Lb,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,T,11:00 AM-11:50 AM,31,32,Adai Shomanov,"7.422 -cap:30"
CSCI 361,4Lb,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,T,12:00 PM-12:50 PM,30,32,Adai Shomanov,"7.422 -cap:30"
CSCI 361,5Lb,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,R,09:00 AM-09:50 AM,29,32,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 361,6Lb,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,R,10:00 AM-10:50 AM,32,32,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 361,7Lb,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,R,11:00 AM-11:50 AM,32,32,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 361,8Lb,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,R,12:00 PM-12:50 PM,32,32,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 361,9Lb,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,T,01:00 PM-01:50 PM,30,32,"SyedMuhammadUmair Arif","7.422 -cap:30"
CSCI 361,1L,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,W,03:00 PM-03:50 PM,145,145,"AskarBoranbayev","Online -cap:0"
CSCI 361,2L,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,W,04:00 PM-04:50 PM,115,145,"AskarBoranbayev","Online -cap:0"
CSCI 361,1L,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,M,03:00 PM-03:50 PM,145,145,"AskarBoranbayev","7E.429 -cap:90"
CSCI 361,2L,Software Engineering,3.0,6,14-AUG-23,24-NOV-23,M,04:00 PM-04:50 PM,115,145,"AskarBoranbayev","7E.429 -cap:90"
CSCI 390,1L,Artificial Intelligence,3.0,6,14-AUG-23,24-NOV-23,R,01:30 PM-02:45 PM,91,95,Mao Bui,"Online -cap:0"
CSCI 390,2L,Artificial Intelligence,3.0,6,14-AUG-23,24-NOV-23,R,03:00 PM-04:15 PM,93,95,Anh Tu Nguyen,"Online -cap:0"
CSCI 390,3L,Artificial Intelligence,3.0,6,14-AUG-23,24-NOV-23,R,04:30 PM-05:45 PM,92,95,Khalil Khan,"Online -cap:0"
CSCI 390,1L,Artificial Intelligence,3.0,6,14-AUG-23,24-NOV-23,T,01:30 PM-02:45 PM,91,95,Mao Bui,"7E.429 -cap:90"
CSCI 390,2L,Artificial Intelligence,3.0,6,14-AUG-23,24-NOV-23,T,03:00 PM-04:15 PM,93,95,Anh Tu Nguyen,"7E.429 -cap:90"
CSCI 390,3L,Artificial Intelligence,3.0,6,14-AUG-23,24-NOV-23,T,04:30 PM-05:45 PM,92,95,Khalil Khan,"7E.429 -cap:90"
CSCI 399,1Int,Internship II,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,15,30,Ben Tyler,
CSCI 399F,1Int,Internship II - F,6.0,12,14-AUG-23,24-NOV-23,,Online/Distant,3,12,Ben Tyler,
CSCI 408,1L,Senior Project I,3.0,6,14-AUG-23,24-NOV-23,S,08:00 AM-08:50 AM,216,220,"Enver Ever,Hashim Ali","Online -cap:0"
"",,,,,,,F,06:00 PM-06:50 PM,,,,
CSCI 434,1L,Information Security,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,52,40,Michael Lewis,"7E.220 -cap:56"
CSCI 437,1L,"Internet of Things:Technologies andApplications",3.0,6,14-AUG-23,24-NOV-23,M W F,05:00 PM-05:50 PM,41,40,"DimitriosZormpas","7E.221 -cap:56"
CSCI 471,1L,"Complexity andComputability",3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,33,40,"MeiramMurzabulatov","7.246 -cap:48"
CSCI 494,1Lb,Deep Learning,3.0,6,14-AUG-23,24-NOV-23,F,12:00 PM-12:50 PM,31,30,Siamac Fazli,"7.422 -cap:30"
CSCI 494,2Lb,Deep Learning,3.0,6,14-AUG-23,24-NOV-23,F,01:00 PM-01:50 PM,29,30,Minho Lee,"7.422 -cap:30"
CSCI 494,1L,Deep Learning,3.0,6,14-AUG-23,24-NOV-23,M W,12:00 PM-12:50 PM,31,30,Siamac Fazli,"7E.220 -cap:56"
CSCI 494,2L,Deep Learning,3.0,6,14-AUG-23,24-NOV-23,M W,01:00 PM-01:50 PM,29,30,Minho Lee,"7E.220 -cap:56"
ECON 101,1T,"Introduction toMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,M,06:00 PM-06:50 PM,52,60,"Alejandro MeloPonce","8.105 -cap:56"
ECON 101,2T,"Introduction toMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,M,07:00 PM-07:50 PM,53,60,"Alejandro MeloPonce","8.105 -cap:56"
ECON 101,3T,"Introduction toMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,W,06:00 PM-06:50 PM,58,60,"Alejandro MeloPonce","8.105 -cap:56"
ECON 101,4T,"Introduction toMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,W,07:00 PM-07:50 PM,52,60,"AigerimSarsenbayeva","8.105 -cap:56"
ECON 101,5T,"Introduction toMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,F,06:00 PM-06:50 PM,47,60,"AigerimSarsenbayeva","8.105 -cap:56"
ECON 101,6T,"Introduction toMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,F,07:00 PM-07:50 PM,14,60,"AigerimSarsenbayeva","8.105 -cap:56"
ECON 101,1L,"Introduction toMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,135,150,"Alejandro MeloPonce","BlueHall -cap:239"
ECON 101,2L,"Introduction toMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,141,150,"AigerimSarsenbayeva","BlueHall -cap:239"
ECON 102,1T,"Introduction toMacroeconomics",3.0,6,14-AUG-23,24-NOV-23,T,06:00 PM-06:50 PM,56,60,"DanaBazarkulova","8.105 -cap:56"
ECON 102,2T,"Introduction toMacroeconomics",3.0,6,14-AUG-23,24-NOV-23,T,07:00 PM-07:50 PM,41,60,"DanaBazarkulova","8.105 -cap:56"
ECON 102,3T,"Introduction toMacroeconomics",3.0,6,14-AUG-23,24-NOV-23,R,06:00 PM-06:50 PM,50,60,"DanaBazarkulova","8.105 -cap:56"
ECON 102,1L,"Introduction toMacroeconomics",3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,147,150,"DanaBazarkulova","BlueHall -cap:239"
ECON 120,1L,Managerial Economics,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,192,200,"AigerimSarsenbayeva","BlueHall -cap:239"
ECON 201,1T,"IntermediateMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,M,06:00 PM-06:50 PM,49,50,Oleg Rubanov,"8.307 -cap:55"
ECON 201,2T,"IntermediateMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,M,07:00 PM-07:50 PM,26,50,Oleg Rubanov,"8.307 -cap:55"
ECON 201,3T,"IntermediateMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,T,06:00 PM-06:50 PM,44,50,Oleg Rubanov,"8.307 -cap:55"
ECON 201,1L,"IntermediateMicroeconomics",3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,119,120,Oleg Rubanov,"BlueHall -cap:239"
ECON 202,1L,"IntermediateMacroeconomics",3.0,6,14-AUG-23,24-NOV-23,M W F,03:00 PM-03:50 PM,41,40,"ZhannaKapsalyamova","8.154 -cap:56"
ECON 211,1T,Economic Statistics,3.0,6,14-AUG-23,24-NOV-23,T,07:00 PM-07:50 PM,37,50,Vladyslav Nora,"8.307 -cap:55"
ECON 211,2T,Economic Statistics,3.0,6,14-AUG-23,24-NOV-23,W,06:00 PM-06:50 PM,51,50,Vladyslav Nora,"8.307 -cap:55"
